# Synthetic launch telemetry for trying SignalScope.
# Time is seconds; the remaining 16 columns exercise smooth, angular, XY,
# stepped, boolean, discrete-state, high-frequency, drifting, and gapped data.
time_s,altitude_m,velocity_body/x_mps,velocity_body/y_mps,accel_z_mps2,battery_v,attitude/roll_deg,attitude/pitch_deg,navigation/position_east_m,navigation/position_north_m,guidance/target_altitude_m,control/throttle_pct,events/engine_on,flight/mode_code,vibration/accel_x_g,thermal/avionics_c,sensor/gps_altitude_m
2.4,14.72,15.24,1.88,17.84,27.812,7.16,5.72,3.9,1.76,100,60,1,1,0.242,26.84,14.92
2.5,16.1,16.2,2.0,18.00,27.80,7.5,6.0,4.2,1.9,100,75,1,1,0.38,27.0,16.4
2.6,17.98,17.26,2.14,18.12,27.788,7.76,6.3,4.58,2.08,100,75,1,1,0.22,27.18,18.18
2.7,19.86,18.32,2.28,18.24,27.776,8.02,6.6,4.96,2.26,100,75,1,1,0.06,27.36,19.96
2.8,21.74,19.38,2.42,18.36,27.764,8.28,6.9,5.34,2.44,100,75,1,1,-0.1,27.54,21.74
2.9,23.62,20.44,2.56,18.48,27.752,8.54,7.2,5.72,2.62,100,75,1,1,-0.26,27.72,23.52
3.0,25.5,21.5,2.7,18.60,27.74,8.8,7.5,6.1,2.8,100,90,1,1,-0.42,27.9,25.3
3.1,27.96,22.62,2.84,18.66,27.728,8.94,7.8,6.56,3.02,100,90,1,1,-0.242,28.1,27.86
3.2,30.42,23.74,2.98,18.72,27.716,9.08,8.1,7.02,3.24,100,90,1,1,-0.064,28.3,30.42
3.3,32.88,24.86,3.12,18.78,27.704,9.22,8.4,7.48,3.46,100,90,1,1,0.114,28.5,32.98
3.4,35.34,25.98,3.26,18.84,27.692,9.36,8.7,7.94,3.68,100,90,1,1,0.292,28.7,35.54
3.5,37.8,27.1,3.4,18.90,27.68,9.5,9.0,8.4,3.9,100,100,1,1,0.47,28.9,38.1
3.6,40.82,28.26,3.52,18.86,27.668,9.44,9.3,8.92,4.16,100,100,1,1,0.288,29.12,41.02
3.7,43.84,29.42,3.64,18.82,27.656,9.38,9.6,9.44,4.42,100,100,1,1,0.106,29.34,43.94
3.8,46.86,30.58,3.76,18.78,27.644,9.32,9.9,9.96,4.68,100,100,1,1,-0.076,29.56,46.86
3.9,49.88,31.74,3.88,18.74,27.632,9.26,10.2,10.48,4.94,100,100,1,1,-0.258,29.78,49.78
4.0,52.9,32.9,4.0,18.70,27.62,9.2,10.5,11.0,5.2,100,100,1,1,-0.44,30.0,52.7
4.1,56.5,34.08,4.1,18.62,27.608,8.96,10.8,11.6,5.5,100,100,1,1,-0.272,30.24,56.42
4.2,60.1,35.26,4.2,18.54,27.596,8.72,11.1,12.2,5.8,100,100,1,1,-0.104,30.48,60.14
4.3,63.7,36.44,4.3,18.46,27.584,8.48,11.4,12.8,6.1,100,100,1,1,0.064,30.72,63.86
4.4,67.3,37.62,4.4,18.38,27.572,8.24,11.7,13.4,6.4,100,100,1,1,0.232,30.96,67.58
4.5,70.9,38.8,4.5,18.30,27.56,8.0,12.0,14.0,6.7,100,100,1,1,0.40,31.2,71.3
4.6,75.08,39.94,4.56,18.2,27.548,7.62,12.28,14.68,7.02,100,100,1,1,0.25,31.46,75.34
4.7,79.26,41.08,4.62,18.1,27.536,7.24,12.56,15.36,7.34,100,100,1,1,0.1,31.72,79.38
4.8,83.44,42.22,4.68,18,27.524,6.86,12.84,16.04,7.66,100,100,1,1,-0.05,31.98,83.42
4.9,87.62,43.36,4.74,17.9,27.512,6.48,13.12,16.72,7.98,100,100,1,1,-0.2,32.24,87.46
5.0,91.8,44.5,4.8,17.80,27.50,6.1,13.4,17.4,8.3,300,100,1,2,-0.35,32.5,91.5
5.1,96.52,45.56,4.82,17.66,27.49,5.64,13.66,18.14,8.64,300,100,1,2,-0.222,32.76,96.36
5.2,101.24,46.62,4.84,17.52,27.48,5.18,13.92,18.88,8.98,300,100,1,2,-0.094,33.02,101.22
5.3,105.96,47.68,4.86,17.38,27.47,4.72,14.18,19.62,9.32,300,100,1,2,0.034,33.28,106.08
5.4,110.68,48.74,4.88,17.24,27.46,4.26,14.44,20.36,9.66,300,100,1,2,0.162,33.54,110.94
5.5,115.4,49.8,4.9,17.10,27.45,3.8,14.7,21.1,10.0,300,100,1,2,0.29,33.8,115.8
5.6,120.62,50.72,4.86,16.92,27.44,3.24,14.92,21.9,10.36,300,100,1,2,0.188,34.06,121.22
5.7,125.84,51.64,4.82,16.74,27.43,2.68,15.14,22.7,10.72,300,100,1,2,0.086,34.32,126.64
5.8,131.06,52.56,4.78,16.56,27.42,2.12,15.36,23.5,11.08,300,100,1,2,-0.016,34.58,132.06
5.9,136.28,53.48,4.74,16.38,27.41,1.56,15.58,24.3,11.44,300,100,1,2,-0.118,34.84,137.48
6.0,141.5,54.4,4.7,16.20,27.40,1.0,15.8,25.1,11.8,300,100,1,2,-0.22,35.1,
6.1,147.14,55.12,4.62,15.96,27.392,0.4,15.98,25.96,12.18,300,100,1,2,-0.144,35.36,148.32
6.2,152.78,55.84,4.54,15.72,27.384,-0.2,16.16,26.82,12.56,300,100,1,2,-0.068,35.62,153.74
6.3,158.42,56.56,4.46,15.48,27.376,-0.8,16.34,27.68,12.94,300,100,1,2,0.008,35.88,159.16
6.4,164.06,57.28,4.38,15.24,27.368,-1.4,16.52,28.54,13.32,300,100,1,2,0.084,36.14,164.58
6.5,169.7,58.0,4.3,15.00,27.36,-2.0,16.7,29.4,13.7,300,100,1,2,0.16,36.4,170.0
6.6,175.68,58.5,4.18,14.72,27.352,-2.56,16.84,30.32,14.08,300,100,1,2,0.106,36.66,175.86
6.7,181.66,59,4.06,14.44,27.344,-3.12,16.98,31.24,14.46,300,100,1,2,0.052,36.92,181.72
6.8,187.64,59.5,3.94,14.16,27.336,-3.68,17.12,32.16,14.84,300,100,1,2,-0.002,37.18,187.58
6.9,193.62,60,3.82,13.88,27.328,-4.24,17.26,33.08,15.22,300,100,1,2,-0.056,37.44,193.44
7.0,199.6,60.5,3.7,13.60,27.32,-4.8,17.4,34.0,15.6,300,100,1,2,-0.11,37.7,199.3
7.1,205.76,60.76,3.54,13.3,27.314,-5.24,17.48,34.98,15.96,300,100,1,2,-0.072,37.94,205.6
7.2,211.92,61.02,3.38,13,27.308,-5.68,17.56,35.96,16.32,300,100,1,2,-0.034,38.18,211.9
7.3,218.08,61.28,3.22,12.7,27.302,-6.12,17.64,36.94,16.68,300,100,1,2,0.004,38.42,218.2
7.4,224.24,61.54,3.06,12.4,27.296,-6.56,17.72,37.92,17.04,300,100,1,2,0.042,38.66,224.5
7.5,230.4,61.8,2.9,12.10,27.29,-7.0,17.8,38.9,17.4,300,100,1,2,0.08,38.9,230.8
7.6,236.6,61.82,2.72,11.8,27.284,-7.3,17.84,39.94,17.74,300,100,1,2,0.052,39.12,236.86
7.7,242.8,61.84,2.54,11.5,27.278,-7.6,17.88,40.98,18.08,300,100,1,2,0.024,39.34,242.92
7.8,249,61.86,2.36,11.2,27.272,-7.9,17.92,42.02,18.42,300,100,1,2,-0.004,39.56,248.98
7.9,255.2,61.88,2.18,10.9,27.266,-8.2,17.96,43.06,18.76,300,100,1,2,-0.032,39.78,255.04
8.0,261.4,61.9,2.0,10.60,27.26,-8.5,18.0,44.1,19.1,300,100,1,2,-0.06,40.0,261.1
8.1,267.48,61.68,1.8,10.32,27.256,-8.64,17.96,45.18,19.4,300,100,1,2,-0.038,40.2,267.32
8.2,273.56,61.46,1.6,10.04,27.252,-8.78,17.92,46.26,19.7,300,100,1,2,-0.016,40.4,273.54
8.3,279.64,61.24,1.4,9.76,27.248,-8.92,17.88,47.34,20,300,100,1,2,0.006,40.6,279.76
8.4,285.72,61.02,1.2,9.48,27.244,-9.06,17.84,48.42,20.3,300,100,1,2,0.028,40.8,285.98
8.5,291.8,60.8,1.0,9.20,27.24,-9.2,17.8,49.5,20.6,300,85,1,2,0.05,41.0,292.2
8.6,297.62,60.4,0.82,8.92,27.236,-9.1,17.7,50.62,20.86,300,85,1,2,0.032,41.18,297.9
8.7,303.44,60,0.64,8.64,27.232,-9,17.6,51.74,21.12,300,85,1,2,0.014,41.36,303.6
8.8,309.26,59.6,0.46,8.36,27.228,-8.9,17.5,52.86,21.38,300,85,1,2,-0.004,41.54,309.3
8.9,315.08,59.2,0.28,8.08,27.224,-8.8,17.4,53.98,21.64,300,85,1,2,-0.022,41.72,315
9.0,320.9,58.8,0.1,7.80,27.22,-8.7,17.3,55.1,21.9,300,85,1,2,-0.04,41.9,320.7
9.1,326.42,58.24,-0.08,7.54,27.216,-8.38,17.14,56.26,22.08,300,85,1,2,-0.026,42.06,326.32
9.2,331.94,57.68,-0.26,7.28,27.212,-8.06,16.98,57.42,22.26,300,85,1,2,-0.012,42.22,331.94
9.3,337.46,57.12,-0.44,7.02,27.208,-7.74,16.82,58.58,22.44,300,85,1,2,0.002,42.38,337.56
9.4,342.98,56.56,-0.62,6.76,27.204,-7.42,16.66,59.74,22.62,300,85,1,2,0.016,42.54,343.18
9.5,348.5,56.0,-0.8,6.50,27.20,-7.1,16.5,60.9,22.8,300,85,1,2,0.03,42.7,348.8
9.6,353.68,55.3,-0.94,6.26,27.196,-6.58,16.28,62.1,22.92,300,85,1,2,0.018,42.84,353.84
9.7,358.86,54.6,-1.08,6.02,27.192,-6.06,16.06,63.3,23.04,300,85,1,2,0.006,42.98,358.88
9.8,364.04,53.9,-1.22,5.78,27.188,-5.54,15.84,64.5,23.16,300,85,1,2,-0.006,43.12,363.92
9.9,369.22,53.2,-1.36,5.54,27.184,-5.02,15.62,65.7,23.28,300,85,1,2,-0.018,43.26,368.96
10.0,374.4,52.5,-1.5,5.30,27.18,-4.5,15.4,66.9,23.4,500,70,1,2,-0.03,43.4,374.0
10.1,379.18,51.74,-1.6,5.08,27.176,-3.9,15.12,68.12,23.44,500,70,1,2,-0.02,43.52,378.94
10.2,383.96,50.98,-1.7,4.86,27.172,-3.3,14.84,69.34,23.48,500,70,1,2,-0.01,43.64,383.88
10.3,388.74,50.22,-1.8,4.64,27.168,-2.7,14.56,70.56,23.52,500,70,1,2,0,43.76,388.82
10.4,393.52,49.46,-1.9,4.42,27.164,-2.1,14.28,71.78,23.56,500,70,1,2,0.01,43.88,393.76
10.5,398.3,48.7,-2.0,4.20,27.16,-1.5,14.0,73.0,23.6,500,70,1,2,0.02,44.0,398.7
10.6,402.68,47.94,-2.04,4.04,27.156,-0.84,13.68,74.24,23.56,500,70,1,2,0.012,44.1,402.94
10.7,407.06,47.18,-2.08,3.88,27.152,-0.18,13.36,75.48,23.52,500,70,1,2,0.004,44.2,407.18
10.8,411.44,46.42,-2.12,3.72,27.148,0.48,13.04,76.72,23.48,500,70,1,2,-0.004,44.3,411.42
10.9,415.82,45.66,-2.16,3.56,27.144,1.14,12.72,77.96,23.44,500,70,1,2,-0.012,44.4,415.66
11.0,420.2,44.9,-2.2,3.40,27.14,1.8,12.4,79.2,23.4,500,55,1,2,-0.02,44.5,419.9
11.1,424.22,44.12,-2.18,3.3,27.136,2.4,12.04,80.44,23.28,500,55,1,2,-0.012,44.6,424.04
11.2,428.24,43.34,-2.16,3.2,27.132,3,11.68,81.68,23.16,500,55,1,2,-0.004,44.7,428.18
11.3,432.26,42.56,-2.14,3.1,27.128,3.6,11.32,82.92,23.04,500,55,1,2,0.004,44.8,432.32
11.4,436.28,41.78,-2.12,3,27.124,4.2,10.96,84.16,22.92,500,55,1,2,0.012,44.9,436.46
11.5,440.3,41.0,-2.1,2.90,27.12,4.8,10.6,85.4,22.8,500,55,1,2,0.02,45.0,440.6
11.6,443.92,40.24,-2.01,2.84,27.116,5.28,10.22,86.64,22.6,500,55,1,2,0.012,45.08,444.1
11.7,447.54,39.48,-1.92,2.78,27.112,5.76,9.84,87.88,22.4,500,55,1,2,0.004,45.16,447.6
11.8,451.16,38.72,-1.83,2.72,27.108,6.24,9.46,89.12,22.2,500,55,1,2,-0.004,45.24,451.1
11.9,454.78,37.96,-1.74,2.66,27.104,6.72,9.08,90.36,22,500,55,1,2,-0.012,45.32,454.6
12.0,458.4,37.2,,2.60,27.10,7.2,8.7,91.6,21.8,500,40,1,2,-0.02,45.4,458.1
12.1,461.66,36.48,-1.56,2.56,27.096,7.52,8.32,92.82,21.52,500,40,1,2,-0.014,45.46,461.48
12.2,464.92,35.76,-1.47,2.52,27.092,7.84,7.94,94.04,21.24,500,40,1,2,-0.008,45.52,464.86
12.3,468.18,35.04,-1.38,2.48,27.088,8.16,7.56,95.26,20.96,500,40,1,2,-0.002,45.58,468.24
12.4,471.44,34.32,-1.29,2.44,27.084,8.48,7.18,96.48,20.68,500,40,1,2,0.004,45.64,471.62
12.5,474.7,33.6,-1.2,2.40,27.08,8.8,6.8,97.7,20.4,500,25,0,3,0.01,45.7,475.0
12.6,477.6,32.92,-1.06,2.36,27.076,8.9,6.44,98.9,20.06,500,25,0,3,0.006,45.76,477.78
12.7,480.5,32.24,-0.92,2.32,27.072,9,6.08,100.1,19.72,500,25,0,3,0.002,45.82,480.56
12.8,483.4,31.56,-0.78,2.28,27.068,9.1,5.72,101.3,19.38,500,25,0,3,-0.002,45.88,483.34
12.9,486.3,30.88,-0.64,2.24,27.064,9.2,5.36,102.5,19.04,500,25,0,3,-0.006,45.94,486.12
13.0,489.2,30.2,-0.5,2.20,27.06,9.3,5.0,103.7,18.7,500,25,0,3,-0.01,46.0,488.9
13.1,491.78,29.64,-0.34,2.18,27.056,9.22,4.68,104.86,18.3,500,25,0,3,-0.006,46.04,491.6
13.2,494.36,29.08,-0.18,2.16,27.052,9.14,4.36,106.02,17.9,500,25,0,3,-0.002,46.08,494.3
13.3,496.94,28.52,-0.02,2.14,27.048,9.06,4.04,107.18,17.5,500,25,0,3,0.002,46.12,497
13.4,499.52,27.96,0.14,2.12,27.044,8.98,3.72,108.34,17.1,500,25,0,3,0.006,46.16,499.7
13.5,502.1,27.4,0.3,2.10,27.04,8.9,3.4,109.5,16.7,500,10,0,3,0.01,46.2,502.4
13.6,504.4,26.92,0.44,2.08,27.036,8.62,3.12,110.62,16.26,500,10,0,3,0.006,46.24,504.58
13.7,506.7,26.44,0.58,2.06,27.032,8.34,2.84,111.74,15.82,500,10,0,3,0.002,46.28,506.76
13.8,509,25.96,0.72,2.04,27.028,8.06,2.56,112.86,15.38,500,10,0,3,-0.002,46.32,508.94
13.9,511.3,25.48,0.86,2.02,27.024,7.78,2.28,113.98,14.94,500,10,0,3,-0.006,46.36,511.12
14.0,513.6,25.0,1.0,2.00,27.02,7.5,2.0,115.1,14.5,500,10,0,3,-0.01,46.4,513.3
14.1,515.68,24.6,1.1,1.98,27.016,7.04,1.78,116.16,14.04,500,10,0,3,-0.006,46.42,515.48
14.2,517.76,24.2,1.2,1.96,27.012,6.58,1.56,117.22,13.58,500,10,0,3,-0.002,46.44,517.66
14.3,519.84,23.8,1.3,1.94,27.008,6.12,1.34,118.28,13.12,500,10,0,3,0.002,46.46,519.84
14.4,521.92,23.4,1.4,1.92,27.004,5.66,1.12,119.34,12.66,500,10,0,3,0.006,46.48,522.02
14.5,524.0,23.0,1.5,1.90,27.00,5.2,0.9,120.4,12.2,500,0,0,3,0.01,46.5,524.2
14.6,525.9,22.64,1.56,1.88,26.996,4.62,0.74,121.4,11.72,500,0,0,3,0.006,46.52,526
14.7,527.8,22.28,1.62,1.86,26.992,4.04,0.58,122.4,11.24,500,0,0,3,0.002,46.54,527.8
14.8,529.7,21.92,1.68,1.84,26.988,3.46,0.42,123.4,10.76,500,0,0,3,-0.002,46.56,529.6
14.9,531.6,21.56,1.74,1.82,26.984,2.88,0.26,124.4,10.28,500,0,0,3,-0.006,46.58,531.4
15.0,533.5,21.2,1.8,1.80,26.98,2.3,0.1,125.4,9.8,600,0,0,3,-0.01,46.6,533.2
15.1,535.22,20.88,1.82,1.78,26.976,1.68,0,126.32,9.34,600,0,0,3,-0.006,46.62,535.04
15.2,536.94,20.56,1.84,1.76,26.972,1.06,-0.1,127.24,8.88,600,0,0,3,-0.002,46.64,536.88
15.3,538.66,20.24,1.86,1.74,26.968,0.44,-0.2,128.16,8.42,600,0,0,3,0.002,46.66,538.72
15.4,540.38,19.92,1.88,1.72,26.964,-0.18,-0.3,129.08,7.96,600,0,0,3,0.006,46.68,540.56
15.5,542.1,19.6,1.9,1.70,26.96,-0.8,-0.4,130.0,7.5,600,0,0,3,0.01,46.7,542.4
15.6,543.64,19.26,1.86,1.68,26.956,-1.38,-0.44,130.84,7.06,600,0,0,3,0.006,46.7,543.82
15.7,545.18,18.92,1.82,1.66,26.952,-1.96,-0.48,131.68,6.62,600,0,0,3,0.002,46.7,545.24
15.8,546.72,18.58,1.78,1.64,26.948,-2.54,-0.52,132.52,6.18,600,0,0,3,-0.002,46.7,546.66
15.9,548.26,18.24,1.74,1.62,26.944,-3.12,-0.56,133.36,5.74,600,0,0,3,-0.006,46.7,548.08
16.0,549.8,17.9,1.7,1.60,26.94,-3.7,-0.6,134.2,5.3,600,0,0,3,-0.01,46.7,549.5
16.1,551.14,17.54,1.62,1.58,26.936,-4.2,-0.58,134.96,4.9,600,0,0,3,-0.006,46.68,550.94
16.2,552.48,17.18,1.54,1.56,26.932,-4.7,-0.56,135.72,4.5,600,0,0,3,-0.002,46.66,552.38
16.3,553.82,16.82,1.46,1.54,26.928,-5.2,-0.54,136.48,4.1,600,0,0,3,0.002,46.64,553.82
16.4,555.16,16.46,1.38,1.52,26.924,-5.7,-0.52,137.24,3.7,600,0,0,3,0.006,46.62,555.26
16.5,556.5,16.1,1.3,1.50,26.92,-6.2,-0.5,138.0,3.3,600,0,0,4,0.01,46.6,556.7
16.6,557.64,15.68,1.18,1.48,26.916,-6.56,-0.42,138.66,2.96,600,0,0,4,0.006,46.58,557.76
16.7,558.78,15.26,1.06,1.46,26.912,-6.92,-0.34,139.32,2.62,600,0,0,4,0.002,46.56,558.82
16.8,559.92,14.84,0.94,1.44,26.908,-7.28,-0.26,139.98,2.28,600,0,0,4,-0.002,46.54,559.88
16.9,561.06,14.42,0.82,1.42,26.904,-7.64,-0.18,140.64,1.94,600,0,0,4,-0.006,46.52,560.94
17.0,562.2,14.0,0.7,1.40,26.90,-8.0,-0.1,141.3,1.6,600,0,0,4,-0.01,46.5,562.0
17.1,563.1,13.52,0.56,1.38,26.896,-8.2,0.04,141.86,1.34,600,0,0,4,-0.006,46.46,563
17.2,564,13.04,0.42,1.36,26.892,-8.4,0.18,142.42,1.08,600,0,0,4,-0.002,46.42,564
17.3,564.9,12.56,0.28,1.34,26.888,-8.6,0.32,142.98,0.82,600,0,0,4,0.002,46.38,565
17.4,565.8,12.08,0.14,1.32,26.884,-8.8,0.46,143.54,0.56,600,0,0,4,0.006,46.34,566
17.5,566.7,11.6,0.0,1.30,26.88,-9.0,0.6,144.1,0.3,600,0,0,4,0.01,46.3,567.0
17.6,567.34,11.06,-0.16,1.28,26.876,-9.02,0.78,144.56,0.14,600,0,0,4,0.006,46.26,567.49
17.7,567.98,10.52,-0.32,1.26,26.872,-9.04,0.96,145.02,-0.02,600,0,0,4,0.002,46.22,567.98
17.8,568.62,9.98,-0.48,1.24,26.868,-9.06,1.14,145.48,-0.18,600,0,0,4,-0.002,46.18,568.47
17.9,569.26,9.44,-0.64,1.22,26.864,-9.08,1.32,145.94,-0.34,600,0,0,4,-0.006,46.14,568.96
18.0,569.9,8.9,-0.8,1.20,26.86,-9.1,1.5,146.4,-0.5,600,0,0,4,-0.01,46.1,
18.1,570.24,8.28,-0.94,1.18,26.856,-8.88,1.72,146.76,-0.56,600,0,0,4,-0.006,46.04,569.94
18.2,570.58,7.66,-1.08,1.16,26.852,-8.66,1.94,147.12,-0.62,600,0,0,4,-0.002,45.98,570.43
18.3,570.92,7.04,-1.22,1.14,26.848,-8.44,2.16,147.48,-0.68,600,0,0,4,0.002,45.92,570.92
18.4,571.26,6.42,-1.36,1.12,26.844,-8.22,2.38,147.84,-0.74,600,0,0,4,0.006,45.86,571.41
18.5,571.6,5.8,-1.5,1.10,26.84,-8.0,2.6,148.2,-0.8,600,0,0,4,0.01,45.8,571.9
18.6,571.62,5.12,-1.62,1.08,26.836,-7.6,2.84,148.46,-0.76,600,0,0,4,0.006,45.74,571.8
18.7,571.64,4.44,-1.74,1.06,26.832,-7.2,3.08,148.72,-0.72,600,0,0,4,0.002,45.68,571.7
18.8,571.66,3.76,-1.86,1.04,26.828,-6.8,3.32,148.98,-0.68,600,0,0,4,-0.002,45.62,571.6
18.9,571.68,3.08,-1.98,1.02,26.824,-6.4,3.56,149.24,-0.64,600,0,0,4,-0.006,45.56,571.5
19.0,571.7,2.4,-2.1,1.00,26.82,-6.0,3.8,149.5,-0.6,600,0,0,4,-0.01,45.5,571.4
19.1,571.36,1.7,-2.18,0.98,26.816,-5.44,4.04,149.64,-0.46,600,0,0,4,-0.006,45.42,571.18
19.2,571.02,1,-2.26,0.96,26.812,-4.88,4.28,149.78,-0.32,600,0,0,4,-0.002,45.34,570.96
19.3,570.68,0.3,-2.34,0.94,26.808,-4.32,4.52,149.92,-0.18,600,0,0,4,0.002,45.26,570.74
19.4,570.34,-0.4,-2.42,0.92,26.804,-3.76,4.76,150.06,-0.04,600,0,0,4,0.006,45.18,570.52
19.5,570.0,-1.1,-2.5,0.90,26.80,-3.2,5.0,150.2,0.1,600,0,0,4,0.01,45.1,570.3
19.6,569.3,-1.84,-2.54,0.88,26.796,-2.56,5.22,150.24,0.34,600,0,0,4,0.008,45.02,569.48
19.7,568.6,-2.58,-2.58,0.86,26.792,-1.92,5.44,150.28,0.58,600,0,0,4,0.006,44.94,568.66
19.8,567.9,-3.32,-2.62,0.84,26.788,-1.28,5.66,150.32,0.82,600,0,0,4,0.004,44.86,567.84
19.9,567.2,-4.06,-2.66,0.82,26.784,-0.64,5.88,150.36,1.06,600,0,0,4,0.002,44.78,567.02
20.0,566.5,-4.8,-2.7,0.80,26.78,0.0,6.1,150.4,1.3,600,0,0,4,0.00,44.7,566.2
